id,name,pad_type,latitude,longitude,retired,location_id,changed,url,wiki_url
171,"Mu Center, Uchinoura Space Center, Japan",0,31.251000000000000,131.081300000000000,0,41,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Uchinoura_Space_Center
172,"KS Center, Uchinoura Space Center, Japan",0,31.251871000000000,131.079089000000000,0,41,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Uchinoura_Space_Center
173,Omelek Island,0,9.047861000000000,167.743000000000000,0,42,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Omelek_Island
174,"Unknown Pad, Unknown Location, China",0,35.844694000000000,103.452083000000000,0,37,2017-02-21 00:00:00,,
176,"Ariane Launch Area 4, Kourou",0,5.256319000000000,-52.786838000000000,0,3,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Guiana_Space_Centre
177,Satish Dhawan Space Centre Third Launch Pad,0,13.725855000000000,80.226590000000000,0,5,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Satish_Dhawan_Space_Centre_Third_Launch_Pad
178,Satish Dhawan Space Centre SLV Launch Pad,0,13.725855000000000,80.226590000000000,1,5,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Satish_Dhawan_Space_Centre_SLV_Launch_Pad
179,"Space Launch Complex 576E, Vandenberg AFB, CA",0,34.739444000000000,-120.619167000000000,0,18,2017-02-21 00:00:00,,
181,Mojave Air and Space Port,0,35.059444000000000,-118.151667000000000,0,39,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Mojave_Air_and_Space_Port
182,Imam Khomeini Spaceport,0,35.238000000000000,53.950778000000000,0,6,2018-04-10 18:19:02,,https://en.wikipedia.org/wiki/Imam_Khomeini_Spaceport
183,"Rocket Lab Launch Complex 2, Wallops Island, Virginia",0,37.834000000000000,-75.488000000000000,0,19,2018-10-17 15:19:58,,
185,"Mayak-2, Kapustin Yar",0,48.569551000000000,46.295814000000000,0,12,2018-12-13 16:06:19,,
186,"LC-86/1, Kapustin Yar",0,48.569350000000000,46.295413000000000,0,12,2018-12-13 16:08:12,,
187,Andersen Air Force Base,0,13.581111000000000,144.924444000000000,0,39,2019-04-21 08:22:21,,https://en.wikipedia.org/wiki/Andersen_Air_Force_Base
188,Guam International Airport,0,13.483889000000000,144.797222000000000,0,39,2019-04-21 08:30:48,,https://en.wikipedia.org/wiki/Antonio_B._Won_Pat_International_Airport
189,"Cosmodrome Site 1A, Vostochny Cosmodrome, Siberia, Russian Federation",0,51.884395000000000,128.333932000000000,0,34,2019-08-29 16:40:22,,https://en.wikipedia.org/wiki/Vostochny_Cosmodrome
190,Cecil Air and Space Port,0,30.224166000000000,-81.876236000000000,0,39,2019-09-10 17:27:24,,https://en.wikipedia.org/wiki/Cecil_Airport
191,"Launch Complex 16, Taiyuan",0,38.868222000000000,111.580240000000000,0,2,2019-12-07 12:59:07,,
192,Launch Pad B,0,57.430429900000000,-152.358634700000000,0,32,2020-02-27 18:45:41,,https://en.wikipedia.org/wiki/Pacific_Spaceport_Complex_%E2%80%93_Alaska
193,"Unknown Pad, Shahrud Missile Test Site, Iran",0,36.200792000000000,55.333892000000000,0,43,2020-04-22 08:09:12,,
194,Rocket Lab Launch Complex 1B,0,-39.262833000000000,177.864469000000000,0,40,2020-06-11 05:28:03,,https://en.wikipedia.org/wiki/Rocket_Lab_Launch_Complex_1
